antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'lbxsgb'}),frozenset({'lbxsossi'}),0.07527866849900748,0.9122003359291495,0.07527866849900748,1.0,1.0962504184800803,0.006609441805913774,inf,0.09494715984147953
frozenset({'lbxstr'}),frozenset({'lbxsossi'}),0.7973736448312719,0.9122003359291495,0.7973736448312719,1.0,1.0962504184800803,0.07000913815513532,inf,0.4333082140165786
frozenset({'lbxsossi'}),frozenset({'lbxstr'}),0.9122003359291495,0.7973736448312719,0.7973736448312719,0.8741211918312688,1.0962504184800803,0.07000913815513532,1.6096939438536984,0.9999999999999998
frozenset({'lbxsgb'}),frozenset({'lbxstr'}),0.07527866849900748,0.7973736448312719,0.0673385249656436,0.8945233265720081,1.121837086503271,0.007313298686544956,1.921053713426594,0.11744616384642802
"frozenset({'lbxsassi', 'lbxsbu'})",frozenset({'lbxsatsi'}),0.08337150710032067,0.5332111772789739,0.060467246907924876,0.7252747252747253,1.3602016540160868,0.016012627455440562,1.6991113147045347,0.2889010040434328
"frozenset({'lbxsbu', 'lbxsatsi'})",frozenset({'lbxsassi'}),0.07054512139257901,0.6625438998320354,0.060467246907924876,0.8571428571428572,1.2937148124979423,0.01372800706636123,2.362192701175753,0.2442637314495374
frozenset({'lbxsbu'}),"frozenset({'lbxsassi', 'lbxsatsi'})",0.10932966865170254,0.4426630019850359,0.060467246907924876,0.553072625698324,1.2494213955496116,0.012071047576532955,1.247041533058482,0.22413401977948524
"frozenset({'lbxsck', 'lbxsassi'})",frozenset({'lbxsatsi'}),0.10337456100167965,0.5332111772789739,0.059092991296381125,0.5716395864106352,1.0720697741704608,0.003972519923978415,1.089710458559085,0.07497544515556671
"frozenset({'lbxsck', 'lbxsatsi'})",frozenset({'lbxsassi'}),0.08489845777981371,0.6625438998320354,0.059092991296381125,0.6960431654676259,1.0505615788539944,0.0028440359892179384,1.1102106017360254,0.05259322784419888
"frozenset({'lbxsch', 'lbxsassi'})",frozenset({'lbxsatsi'}),0.4499923652466025,0.5332111772789739,0.309665597801191,0.6881574482524602,1.2905908157518218,0.06972463896150005,1.496873406484074,0.4093780904099956
"frozenset({'lbxsch', 'lbxsatsi'})",frozenset({'lbxsassi'}),0.36768972362192703,0.6625438998320354,0.309665597801191,0.8421926910299002,1.271150019256699,0.06605501438455619,2.1384060242222587,0.3373514577608719
"frozenset({'lbxsassi', 'lbxsatsi'})",frozenset({'lbxsch'}),0.4426630019850359,0.6097114063215758,0.309665597801191,0.6995515695067265,1.1473486673427378,0.039768916334364246,1.2990202446311732,0.23042676501580592
frozenset({'lbxsch'}),"frozenset({'lbxsassi', 'lbxsatsi'})",0.6097114063215758,0.4426630019850359,0.309665597801191,0.5078888054094666,1.1473486673427378,0.039768916334364246,1.132542815813614,0.3290523052846993
frozenset({'lbxsatsi'}),"frozenset({'lbxsch', 'lbxsassi'})",0.5332111772789739,0.4499923652466025,0.309665597801191,0.5807560137457044,1.2905908157518216,0.06972463896150005,1.3119034566658907,0.48236175389493113
"frozenset({'lbxsassi', 'lbxscr'})",frozenset({'lbxsatsi'}),0.22385096961368148,0.5332111772789739,0.16521606352114826,0.73806275579809,1.384184704387655,0.04585622447839734,1.782063578408917,0.3576027954440574
"frozenset({'lbxsatsi', 'lbxscr'})",frozenset({'lbxsassi'}),0.18995266452893572,0.6625438998320354,0.16521606352114826,0.8697749196141479,1.3127808132180352,0.03936408438066083,2.591329559314493,0.2941287558732475
frozenset({'lbxscr'}),"frozenset({'lbxsassi', 'lbxsatsi'})",0.28706672774469383,0.4426630019850359,0.16521606352114826,0.575531914893617,1.300158161655156,0.03814224404766109,1.3130245066016697,0.3238210575198273
"frozenset({'lbxsassi', 'lbxsgl'})",frozenset({'lbxsatsi'}),0.19407543136356695,0.5332111772789739,0.12032371354405252,0.6199842643587726,1.1627368119374575,0.016840524305760288,1.2283407736613337,0.17366407441674367
"frozenset({'lbxsatsi', 'lbxsgl'})",frozenset({'lbxsassi'}),0.15040464193006567,0.6625438998320354,0.12032371354405252,0.7999999999999999,1.2074671583314127,0.020674035526865933,1.6872805008398222,0.20223759884974823
"frozenset({'lbxsassi', 'lbxsir'})",frozenset({'lbxsatsi'}),0.08657810352725608,0.5332111772789739,0.0642846236066575,0.7425044091710757,1.3925147123887098,0.0181202110983084,1.8128031676905594,0.3085920469246216
"frozenset({'lbxsatsi', 'lbxsir'})",frozenset({'lbxsassi'}),0.07314093754771721,0.6625438998320354,0.0642846236066575,0.8789144050104384,1.326575348793123,0.015825541606421592,2.7869219306975,0.2656059355030581
frozenset({'lbxsir'}),"frozenset({'lbxsassi', 'lbxsatsi'})",0.11192548480684074,0.4426630019850359,0.0642846236066575,0.5743519781718963,1.297492619885391,0.014739352503430857,1.3093846780287457,0.2581795815948795
"frozenset({'lbxsassi', 'lbxsldsi'})",frozenset({'lbxsatsi'}),0.13544052527103376,0.5332111772789739,0.09665597801191021,0.7136414881623449,1.338384337335394,0.024437576080859683,1.6300853769824801,0.29243848990777443
"frozenset({'lbxsatsi', 'lbxsldsi'})",frozenset({'lbxsassi'}),0.105054206749122,0.6625438998320354,0.09665597801191021,0.9200581395348837,1.3886749840548405,0.027052954178585983,4.221269034828355,0.3127441871497485
frozenset({'lbxsldsi'}),"frozenset({'lbxsassi', 'lbxsatsi'})",0.1568178347839365,0.4426630019850359,0.09665597801191021,0.6163583252190846,1.3923872617660522,0.027238524501659506,1.4527540532014416,0.3342207788120818
"frozenset({'lbxsassi', 'lbxsph'})",frozenset({'lbxsatsi'}),0.09955718430294702,0.5332111772789739,0.06886547564513666,0.691717791411043,1.2972679885311913,0.015780472196382497,1.5141607582791492,0.2544850683217855
"frozenset({'lbxsph', 'lbxsatsi'})",frozenset({'lbxsassi'}),0.08566193311956023,0.6625438998320354,0.06886547564513666,0.803921568627451,1.2133861149899001,0.01211068440895223,1.7210261108566196,0.19233589129478476
"frozenset({'lbxsassi', 'lbxsksi'})",frozenset({'lbxsatsi'}),0.07207207207207207,0.5332111772789739,0.05069476255916934,0.7033898305084746,1.3191580756013745,0.01226512816068473,1.5737451737451738,0.260732249385893
"frozenset({'lbxsatsi', 'lbxsksi'})",frozenset({'lbxsassi'}),0.06016185677202626,0.6625438998320354,0.05069476255916934,0.8426395939086295,1.2718245449429857,0.010834891352294707,2.144479088164163,0.22740939387117926
frozenset({'lbxsksi'}),"frozenset({'lbxsassi', 'lbxsatsi'})",0.09864101389525118,0.4426630019850359,0.05069476255916934,0.5139318885448917,1.161000323587615,0.007030035229449817,1.1466232506932064,0.1538496863959311
"frozenset({'lbxsassi', 'lbxsclsi'})",frozenset({'lbxsatsi'}),0.11803328752481294,0.5332111772789739,0.08184455642082761,0.6934023285899095,1.3004272193400106,0.018907888221614474,1.522479999845372,0.26193952329763925
"frozenset({'lbxsatsi', 'lbxsclsi'})",frozenset({'lbxsassi'}),0.09833562375935258,0.6625438998320354,0.08184455642082761,0.8322981366459627,1.2562158324255381,0.016692888762890393,2.0122382269274928,0.22620218130347416
frozenset({'lbxsclsi'}),"frozenset({'lbxsassi', 'lbxsatsi'})",0.1603298213467705,0.4426630019850359,0.08184455642082761,0.5104761904761904,1.153193712117479,0.010872476395741681,1.138528886995549,0.158208548094226
"frozenset({'lbxsassi', 'lbxsatsi'})",frozenset({'lbxsossi'}),0.4426630019850359,0.9122003359291495,0.4426630019850359,1.0,1.0962504184800803,0.03886566287088039,inf,0.1575342465753425
"frozenset({'lbxsassi', 'lbxsossi'})",frozenset({'lbxsatsi'}),0.6625438998320354,0.5332111772789739,0.4426630019850359,0.6681262963816548,1.2530238015473816,0.08938718915659372,1.4065254873517585,0.5983906137082688
"frozenset({'lbxsatsi', 'lbxsossi'})",frozenset({'lbxsassi'}),0.5332111772789739,0.6625438998320354,0.4426630019850359,0.8301832760595647,1.2530238015473816,0.08938718915659372,1.9871782492184349,0.4325951116438581
frozenset({'lbxsassi'}),"frozenset({'lbxsatsi', 'lbxsossi'})",0.6625438998320354,0.5332111772789739,0.4426630019850359,0.6681262963816548,1.2530238015473816,0.08938718915659372,1.4065254873517585,0.5983906137082688
frozenset({'lbxsatsi'}),"frozenset({'lbxsassi', 'lbxsossi'})",0.5332111772789739,0.6625438998320354,0.4426630019850359,0.8301832760595647,1.2530238015473816,0.08938718915659372,1.9871782492184349,0.4325951116438581
"frozenset({'lbxsassi', 'lbxsatsi'})",frozenset({'lbxstr'}),0.4426630019850359,0.7973736448312719,0.39486944571690336,0.8920317350810625,1.1187123387678817,0.04190163439214273,1.876721417361479,0.19039676233459416
"frozenset({'lbxsassi', 'lbxstr'})",frozenset({'lbxsatsi'}),0.5840586349060926,0.5332111772789739,0.39486944571690336,0.676078431372549,1.2679374705208541,0.0834428533986753,1.4410550822501407,0.5080465468074448
"frozenset({'lbxsatsi', 'lbxstr'})",frozenset({'lbxsassi'}),0.4718277599633532,0.6625438998320354,0.39486944571690336,0.8368932038834952,1.2631513234000944,0.08226284158176983,2.068927280791688,0.3944342375953245
frozenset({'lbxsassi'}),"frozenset({'lbxsatsi', 'lbxstr'})",0.6625438998320354,0.4718277599633532,0.39486944571690336,0.5959898594146117,1.2631513234000944,0.08226284158176983,1.3073242153559674,0.617352048797388
frozenset({'lbxsatsi'}),"frozenset({'lbxsassi', 'lbxstr'})",0.5332111772789739,0.5840586349060926,0.39486944571690336,0.7405498281786941,1.2679374705208541,0.0834428533986753,1.6031647316864508,0.4527048719344061
"frozenset({'lbxsch', 'lbxsbu'})",frozenset({'lbxsatsi'}),0.07833256985799358,0.5332111772789739,0.052527103374561,0.6705653021442495,1.2575979850351344,0.01075930158129277,1.4169388524016944,0.22224212862360707
"frozenset({'lbxsbu', 'lbxsatsi'})",frozenset({'lbxsch'}),0.07054512139257901,0.6097114063215758,0.052527103374561,0.7445887445887446,1.221215048412644,0.009514938201165363,1.5280790701646776,0.1948920879801024
"frozenset({'lbxsbu', 'lbxsatsi'})",frozenset({'lbxsossi'}),0.07054512139257901,0.9122003359291495,0.07054512139257901,1.0,1.0962504184800803,0.006193837960105808,inf,0.09446361097420734
"frozenset({'lbxsbu', 'lbxsossi'})",frozenset({'lbxsatsi'}),0.10932966865170254,0.5332111772789739,0.07054512139257901,0.6452513966480447,1.2101235385590046,0.012249320059284571,1.3158299097175379,0.19495214197768623
frozenset({'lbxsbu'}),"frozenset({'lbxsatsi', 'lbxsossi'})",0.10932966865170254,0.5332111772789739,0.07054512139257901,0.6452513966480447,1.2101235385590046,0.012249320059284571,1.3158299097175379,0.19495214197768623
"frozenset({'lbxsbu', 'lbxsatsi'})",frozenset({'lbxstr'}),0.07054512139257901,0.7973736448312719,0.06061994197587418,0.8593073593073594,1.0776721363661235,0.004369121406008918,1.4402057859684985,0.07754437234408394
"frozenset({'lbxsbu', 'lbxstr'})",frozenset({'lbxsatsi'}),0.09421285692472132,0.5332111772789739,0.06061994197587418,0.6434359805510536,1.2067188535592352,0.010384593620227985,1.309130470994878,0.1891245195337247
frozenset({'lbxsbu'}),"frozenset({'lbxsatsi', 'lbxstr'})",0.10932966865170254,0.4718277599633532,0.06061994197587418,0.5544692737430168,1.1751518685252482,0.009035169318405728,1.1854900434678344,0.1673415522988503
"frozenset({'lbxsck', 'lbxsatsi'})",frozenset({'lbxsch'}),0.08489845777981371,0.6097114063215758,0.06016185677202626,0.7086330935251799,1.1622434584263468,0.008398298684563113,1.3395090005259498,0.1525459906269666
"frozenset({'lbxsck', 'lbxsatsi'})",frozenset({'lbxsossi'}),0.08489845777981371,0.9122003359291495,0.08489845777981371,1.0,1.0962504184800803,0.007454056073200932,inf,0.09594526948106127
"frozenset({'lbxsck', 'lbxsatsi'})",frozenset({'lbxstr'}),0.08489845777981371,0.7973736448312719,0.07527866849900748,0.8866906474820144,1.1120139889620284,0.007582875778563564,1.788257991647823,0.11007602175492771
"frozenset({'lbxsch', 'lbxscr'})",frozenset({'lbxsatsi'}),0.20277905023667736,0.5332111772789739,0.1400213773095129,0.690512048192771,1.2950067020659957,0.03189732120530196,1.5082616948260887,0.2857466606317034
"frozenset({'lbxsatsi', 'lbxscr'})",frozenset({'lbxsch'}),0.18995266452893572,0.6097114063215758,0.1400213773095129,0.7371382636655948,1.2089953640736237,0.02420507108504498,1.4847676163179189,0.21340354000310388
"frozenset({'lbxsch', 'lbxsgl'})",frozenset({'lbxsatsi'}),0.18109635058787601,0.5332111772789739,0.1016949152542373,0.5615514333895447,1.0531501538568522,0.005132316956350122,1.0646375841291096,0.06162847538943004
